x, y, type, rotation
0, 0, turn, 270
1, 0, straight, 0
2, 0, 3way, 0
3, 0, straight, 0
4, 0, turn, 0
0, 1, straight, 90
1, 1, empty, 0
2, 1, straight, 90
3, 1, empty, 0
4, 1, straight, 90
0, 2, 3way, 270
1, 2, straight, 0
2, 2, 4way, 0
3, 2, straight, 0
4, 2, 3way, 90
0, 3, straight, 90
1, 3, empty, 0
2, 3, straight, 90
3, 3, empty, 0
4, 3, straight, 90
0, 4, turn, 180
1, 4, straight, 0
2, 4, 3way, 180
3, 4, straight, 0
4, 4, turn, 90
